,power,current,time
617,0.838,162.5,3124
618,0.838,162.5,3129
619,0.838,162.5,3133
620,0.838,162.5,3139
621,0.838,162.5,3144
622,0.838,162.5,3149
623,0.838,162.5,3154
624,0.838,162.5,3159
625,0.838,162.5,3164
626,0.838,162.5,3169
627,0.838,162.69998999999999,3174
628,0.838,162.69998999999999,3180
629,0.838,162.69998999999999,3185
630,0.838,162.69998999999999,3190
631,0.838,162.69998999999999,3195
632,0.838,162.69998999999999,3200
633,0.838,162.69998999999999,3205
634,0.838,162.69998999999999,3210
635,0.838,162.69998999999999,3215
636,0.838,162.69998999999999,3221
637,0.838,162.69998999999999,3226
638,0.838,162.69998999999999,3231
639,0.838,160.89999,3236
640,0.83,160.89999,3241
641,0.83,160.89999,3246
642,0.83,160.89999,3251
643,0.83,160.89999,3256
644,0.83,160.89999,3261
645,0.83,160.89999,3267
646,0.83,160.89999,3272
647,0.83,160.89999,3277
648,0.83,160.89999,3282
649,0.83,160.89999,3287
650,0.83,160.89999,3292
651,0.83,160.89999,3297
652,0.83,163.99998,3302
653,0.846,163.99998,3308
654,0.846,163.99998,3313
655,0.846,163.99998,3318
656,0.846,163.99998,3323
657,0.846,163.99998,3328
658,0.846,163.99998,3333
659,0.846,163.99998,3338
660,0.846,163.99998,3343
661,0.846,163.99998,3349
662,0.846,163.99998,3355
663,0.846,163.99998,3360
664,0.846,163.99998,3365
665,0.846,163.5,3369
666,0.842,163.5,3374
667,0.842,163.5,3379
668,0.842,163.5,3384
669,0.842,163.5,3389
670,0.842,163.5,3395
671,0.842,163.5,3400
672,0.842,163.5,3405
673,0.842,163.5,3410
674,0.842,163.5,3415
675,0.842,163.5,3420
676,0.842,163.5,3425
677,0.842,163.5,3430
678,0.842,135.3,3436
679,0.702,135.3,3441
680,0.702,135.3,3446
681,0.702,135.3,3451
682,0.702,135.3,3456
683,0.702,135.3,3461
684,0.702,135.3,3466
685,0.702,135.3,3471
686,0.702,135.3,3477
687,0.702,135.3,3482
688,0.702,135.3,3487
689,0.702,135.3,3492
690,0.702,135.3,3497
691,0.702,99.0,3502
692,0.514,99.0,3507
693,0.514,99.0,3512
694,0.514,99.0,3517
695,0.514,99.0,3523
696,0.514,99.0,3528
697,0.514,99.0,3533
698,0.514,99.0,3537
699,0.514,99.0,3542
700,0.514,99.0,3547
